student_id,age,gender,department,semester,entrance_score_pct,current_gpa,backlogs,study_hours_per_week,attendance_pct,assignment_submission_rate,family_income,fee_payment_delay_days,scholarship,lms_login_frequency_per_week,library_visits_per_month,extracurricular_participation,distance_from_home_km,commute_mode,mental_health_score,sleep_hours_per_night,disciplinary_actions,dropout
STU100000,18,Male,Computer Science,1,48.1,3.78,2,15.2,83.9,96.0,75100,25,0,14.2,7,0,63.6,Bicycle,5.4,6.8,1,1
STU100001,23,Female,Civil Engineering,6,62.4,4.83,0,1.9,72.1,76.6,60000,20,0,5.8,3,0,13.8,Bicycle,6.0,7.4,1,0
STU100002,22,Female,Civil Engineering,2,58.1,4.33,2,21.6,70.8,66.7,60000,22,0,9.3,5,0,67.7,Hostel,5.9,7.2,0,0
STU100003,21,Female,Electronics & Communication,6,71.4,6.76,0,15.1,67.7,100.0,60000,32,0,11.9,6,0,22.7,Walking,6.1,6.8,0,0
STU100004,21,Male,Civil Engineering,5,60.5,5.07,0,7.5,65.4,71.9,60000,20,0,17.6,0,0,1.9,Walking,6.8,5.6,0,0
STU100005,24,Male,Electrical Engineering,2,64.2,3.97,1,26.3,71.9,100.0,60000,51,0,8.3,4,1,15.3,Walking,5.3,9.1,0,1
STU100006,18,Female,Mechanical Engineering,4,64.6,3.92,2,15.3,91.7,69.5,80200,26,0,6.0,9,1,25.0,Walking,9.1,8.5,1,0
STU100007,22,Female,Mechanical Engineering,1,69.4,6.04,2,5.7,66.4,75.3,239400,23,0,0.9,5,1,1.6,Own Vehicle,8.1,7.1,2,0
STU100008,19,Male,Business Administration,6,63.7,5.78,0,26.0,67.2,82.1,60000,25,0,14.4,0,1,7.1,Public Transport,6.5,8.2,0,1
STU100009,18,Female,Civil Engineering,3,57.3,4.08,2,24.5,79.9,57.9,60000,18,0,10.2,5,0,0.2,Walking,8.3,6.5,0,0
STU100010,21,Male,Civil Engineering,4,71.0,3.87,3,8.6,75.6,55.9,60000,19,0,4.5,7,0,25.3,Bicycle,1.2,5.0,1,1
STU100011,24,Male,Electronics & Communication,2,82.8,8.63,0,12.7,79.0,98.7,60000,39,0,13.9,4,0,47.9,Public Transport,7.1,7.7,0,0
STU100012,23,Male,Mechanical Engineering,3,71.5,7.39,0,11.8,83.6,59.2,114100,16,0,8.3,4,1,36.9,Own Vehicle,8.6,4.9,1,0
STU100013,23,Male,Business Administration,4,62.7,1.83,1,1.8,64.4,100.0,183200,15,0,3.0,4,0,7.6,Own Vehicle,5.6,9.2,0,1
STU100014,23,Male,Electronics & Communication,2,68.5,7.63,0,17.3,67.4,83.6,60000,18,0,16.7,8,1,26.3,Walking,7.9,5.1,0,0
STU100015,23,Female,Business Administration,8,45.4,3.3,0,20.9,93.8,69.6,138800,22,0,0.0,2,0,16.2,Own Vehicle,5.5,8.4,0,1
STU100016,21,Male,Electronics & Communication,3,68.3,5.77,0,19.6,78.0,91.3,60000,20,0,10.7,8,1,33.7,Walking,7.4,9.0,0,1
STU100017,18,Male,Civil Engineering,2,65.2,7.04,0,15.2,88.4,48.1,60000,20,0,9.4,4,1,0.1,Bicycle,4.2,4.8,0,0
STU100018,23,Male,Computer Science,5,58.8,7.35,0,21.6,97.1,80.0,60000,19,0,1.8,11,0,25.6,Walking,8.6,4.7,0,0
STU100019,21,Male,Civil Engineering,3,61.0,6.48,0,7.1,91.8,81.9,82600,28,0,11.6,4,1,12.5,Walking,6.6,7.2,0,0
